Rank,Company,3-year Growth,2009 Revenue,Industry,City,State,INC Profile,Company URL,Description,2006 Revenue,Employees,Founded,Industry Rank
77,Archimedes Global,3166,$11.5 million,Government Services,Tampa,FL,http://www.inc.com/inc5000/profile/archimedes-global,http://www.archimedesglobal.com,"Archimedes Global is a diversified technology company providing energy and information services to governments and businesses worldwide by combining deep domain expertise, multidisciplinary education and training, and technology-enabled innovations. The firm is a service-disabled, veteran-owned small business with offices in Tampa, Los Angeles, Honolulu, London, and Washington, D.C.","$353,010",35,2005,#15
78,clearAvenue,3107,$8.2 million,IT Services,Linthicum,MD,http://www.inc.com/inc5000/profile/clearavenue,http://www.clearavenue.com,"clearAvenue is a technology-focused systems integration firm, offering strategic business services, including a gamut of commercial off-the-shelf as well as custom design and development. Clients include Lockheed Martin, the National Hispanic Medical Association, and the EPA.","$254,372",22,2002,#6
79,Centuria,3037,$18.1 million,Government Services,Dulles,VA,http://www.inc.com/inc5000/profile/centuria,http://www.centuria.com,"Centuria provides program management, systems engineering, full-lifecycle IT application development and data management, training, and administrative support services to a wide array of government clients.","$578,318",115,2002,#16
80,Sensys Networks,2961,$13.2 million,Logistics & Transportation,Berkeley,CA,http://www.inc.com/inc5000/profile/sensys-networks,http://www.sensysnetworks.com,"Sensys Networks makes and installs in-ground, wireless sensors that detect traffic at intersections and on freeways to provide better data collection, control, and aggregation and to manage traffic flow. Its systems are used in more than 35 states and 15 countries.","$431,415",50,2003,#3
81,Hometown Telecom,2948,$7.7 million,Telecommunications,Beverly Hills,CA,http://www.inc.com/inc5000/profile/hometown-telecom,http://www.hometowntelecom.com,"Hometown Telecom is an international telecommunications carrier specializing in low-cost, high-quality international long distance plans. Its IndiaLD.com brand is used by nonresident Indians in the U.S., Canada, and Australia to call home. It also offers free international calling, free calls to Skype and other VoIP providers, and conference calling by partnering with carriers and mobile operators across the globe.","$253,875",6,2006,#3
82,Insight Resource Group,2917,$6.2 million,Business Products & Services,Orinda,CA,http://www.inc.com/inc5000/profile/insight-resource-group,http://www.insightresourcegroup.com,"Insight Resource Group offers brand development and strategy, print and design work, and full project management services (from design to manufacturing, warehousing, fulfillment, and delivery of branded merchandise), in-store retail displays and custom racks, and green and eco-friendly offerings. Half of its customers are in the California wine and spirits industry; the rest come from financial services, retail, health and fitness, and sports and entertainment. When Scott and Valerie Mollahan founded the company it was to promote a single product: the Write-Sweep, a marketing tool for the wine and spirits market that combined a table crumber and a pen for use in restaurants.","$204,638",16,2004,#7
83,Integrity Management Consulting,2906,$5.3 million,Government Services,McLean,VA,http://www.inc.com/inc5000/profile/integrity-management-consulting,http://www.consultwithintegrity.com,"Integrity Management Consulting offers acquisition management, capital planning and investment control, performance management, and program management to public sector clients such as The Centers for Medicare and Medicaid Services and the departments of Transportation and Homeland Security.","$177,408",22,2006,#17
84,Axom Technologies,2846,$7.7 million,Government Services,Annapolis Junction,MD,http://www.inc.com/inc5000/profile/axom-technologies,http://www.axomtech.com,"A service-disabled, veteran-owned small business, Axom Technologies provides IT and engineering services to the federal government, specializing in software development, IT engineering, cyber operations, network operations, and business consulting.","$260,943",64,2004,#18
85,Deluxe Marketing,2823,$5.1 million,Advertising & Marketing,Capitola,CA,http://www.inc.com/inc5000/profile/deluxe-marketing,http://www.deluxemarketinginc.com,"Specializing in face-to-face marketing, Deluxe Marketing staffs retail kiosks, sends reps door to door and business to business, and plans and executes special event marketing programs for telecoms and retailers such as Time Warner, Bloomingdale's, Comcast, and Target.","$173,788",12,2003,#9
87,ItsHot.com,2790,$3.6 million,Retail,New York,NY,http://www.inc.com/inc5000/profile/itshotcom,http://www.itshot.com,"ItsHot.com is an online diamond jewelry and watch retailer with a showroom in New York City's diamond district. The company offers men's, women's, and children's genuine diamond jewelry and watches for up to 80% less than the manufacturer's suggested retail price. ItsHot.com also custom designs diamond jewelry and is responsible for much celebrity bling, including that of Snoop Dogg, Ja Rule, and Kim Kardashian.","$124,870",6,2004,#4
88,ITG Solutions,2765,$13.7 million,Government Services,McLean,VA,http://www.inc.com/inc5000/profile/itg-solutions,http://www.itgfirm.com,"Incentive Technology Group is an IT consulting, engineering, and integration company offering services to the commercial and government sectors.","$478,545",57,2005,#19
89,Varrow,2754,$17 million,IT Services,Greensboro,NC,http://www.inc.com/inc5000/profile/varrow,http://www.varrow.com,"Varrow specializes in virtualization, storage, and disaster recovery services for mid-market organizations in the Southeast. The company is a partner for EMC, VMware, and Cisco Systems.","$594,812",22,2005,#7
90,Travelers Haven,2750,$4.9 million,Business Products & Services,Denver,CO,http://www.inc.com/inc5000/profile/travelers-haven,http://www.mytravelershaven.com,"Travelers Haven supplies temporary housing in all 50 states and in more than 5,000 cities for corporate, health care, insurance, and government clients, including traveling nurses and military, relocating executives, and insurance response teams set up in disaster areas.","$171,239",18,2006,#8
91,Direct Exteriors,2724,$5.5 million,Construction,Maple Grove,MN,http://www.inc.com/inc5000/profile/direct-exteriors,http://www.directexteriors.net,"Direct Exteriors is an insurance restoration contractor that provides emergency response to secure properties damaged by natural disasters, handles the entire claims process, and makes any necessary repairs.","$193,413",32,2003,#1
92,A10 Clinical Solutions,2714,$8.3 million,Health,Cary,NC,http://www.inc.com/inc5000/profile/a10-clinical-solutions,http://a10clinical.com,"A10 Clinical Solutions offers an array of comprehensive clinical research and occupational health care services for pharmaceutical, government, academic, research institution, hospital, and corporate customers.","$295,485",220,2005,#5
93,Thrillist.com,2702,$7.1 million,Media,New York,NY,http://www.inc.com/inc5000/profile/thrillistcom,http://www.thrillist.com,"Thrillist.com publishes a lifestyle site with an irreverent take on food, drink, entertainment, nightlife, gadgets, and gear, aimed at young, educated, affluent men. It currently has more than 1.5 million subscribers of its 16 editions (15 U.S. cities and London).","$252,000",48,2005,#2
94,Extend Health,2580,$36.6 million,Insurance,Burlingame,CA,http://www.inc.com/inc5000/profile/extend-health,http://www.extendhealth.com,"Extend Health operates the largest private Medicare exchange in the country, where retirees can choose a private Medicare option from thousands of plan options from more than 50 health insurance carriers, including the AARP, UnitedHealthcare, Aetna, Cigna, Humana, and the Blue Cross Blue Shield Association. Extend Health helps retirees navigate the complex world of Medicare and helps employers continue extending health care coverage to their retirees while reducing costs and administrative burdens.",$1.4 million,359,2004,#5
